Codepoint,Property,Description
10F5A-10F6F,UNASSIGNED,<RESERVED>..<RESERVED>
10F70-10F85,PVALID,OLD UYGHUR LETTER ALEPH..OLD UYGHUR COMBINING TWO DOTS BELOW
10F86-10F89,ID_DIS or FREE_PVAL,OLD UYGHUR PUNCTUATION BAR..OLD UYGHUR PUNCTUATION FOUR DOTS
10F8A-10FAF,UNASSIGNED,<RESERVED>..<RESERVED>
10FB0-10FC4,PVALID,CHORASMIAN LETTER ALEPH..CHORASMIAN LETTER TAW
10FC5-10FCB,ID_DIS or FREE_PVAL,CHORASMIAN NUMBER ONE..CHORASMIAN NUMBER ONE HUNDRED
10FCC-10FDF,UNASSIGNED,<RESERVED>..<RESERVED>
10FE0-10FF6,PVALID,ELYMAIC LETTER ALEPH..ELYMAIC LIGATURE ZAYIN-YODH
10FF7-10FFF,UNASSIGNED,<RESERVED>..<RESERVED>
11000-11046,PVALID,BRAHMI SIGN CANDRABINDU..BRAHMI VIRAMA
11047-1104D,ID_DIS or FREE_PVAL,BRAHMI DANDA..BRAHMI PUNCTUATION LOTUS
1104E-11051,UNASSIGNED,<RESERVED>..<RESERVED>
11052-11065,ID_DIS or FREE_PVAL,BRAHMI NUMBER ONE..BRAHMI NUMBER ONE THOUSAND
11066-11075,PVALID,BRAHMI DIGIT ZERO..BRAHMI LETTER OLD TAMIL LLA
11076-1107E,UNASSIGNED,<RESERVED>..<RESERVED>
1107F-110BA,PVALID,BRAHMI NUMBER JOINER..KAITHI SIGN NUKTA
110BB-110BC,ID_DIS or FREE_PVAL,KAITHI ABBREVIATION SIGN..KAITHI ENUMERATION SIGN
110BD,DISALLOWED,KAITHI NUMBER SIGN
110BE-110C1,ID_DIS or FREE_PVAL,KAITHI SECTION MARK..KAITHI DOUBLE DANDA
110C2,PVALID,KAITHI VOWEL SIGN VOCALIC R
110C3-110CC,UNASSIGNED,<RESERVED>..<RESERVED>
110CD,DISALLOWED,KAITHI NUMBER SIGN ABOVE
110CE-110CF,UNASSIGNED,<RESERVED>..<RESERVED>
110D0-110E8,PVALID,SORA SOMPENG LETTER SAH..SORA SOMPENG LETTER MAE
110E9-110EF,UNASSIGNED,<RESERVED>..<RESERVED>
110F0-110F9,PVALID,SORA SOMPENG DIGIT ZERO..SORA SOMPENG DIGIT NINE
110FA-110FF,UNASSIGNED,<RESERVED>..<RESERVED>
11100-11134,PVALID,CHAKMA SIGN CANDRABINDU..CHAKMA MAAYYAA
11135,UNASSIGNED,<RESERVED>
11136-1113F,PVALID,CHAKMA DIGIT ZERO..CHAKMA DIGIT NINE
11140-11143,ID_DIS or FREE_PVAL,CHAKMA SECTION MARK..CHAKMA QUESTION MARK
11144-11147,PVALID,CHAKMA LETTER LHAA..CHAKMA LETTER VAA
11148-1114F,UNASSIGNED,<RESERVED>..<RESERVED>
11150-11173,PVALID,MAHAJANI LETTER A..MAHAJANI SIGN NUKTA
11174-11175,ID_DIS or FREE_PVAL,MAHAJANI ABBREVIATION SIGN..MAHAJANI SECTION MARK
11176,PVALID,MAHAJANI LIGATURE SHRI
11177-1117F,UNASSIGNED,<RESERVED>..<RESERVED>
11180-111C4,PVALID,SHARADA SIGN CANDRABINDU..SHARADA OM
111C5-111C8,ID_DIS or FREE_PVAL,SHARADA DANDA..SHARADA SEPARATOR
111C9-111CC,PVALID,SHARADA SANDHI MARK..SHARADA EXTRA SHORT VOWEL MARK
111CD,ID_DIS or FREE_PVAL,SHARADA SUTRA MARK
111CE-111DA,PVALID,SHARADA VOWEL SIGN PRISHTHAMATRA E..SHARADA EKAM
111DB,ID_DIS or FREE_PVAL,SHARADA SIGN SIDDHAM
111DC,PVALID,SHARADA HEADSTROKE
111DD-111DF,ID_DIS or FREE_PVAL,SHARADA CONTINUATION SIGN..SHARADA SECTION MARK-2
111E0,UNASSIGNED,<RESERVED>
111E1-111F4,ID_DIS or FREE_PVAL,SINHALA ARCHAIC DIGIT ONE..SINHALA ARCHAIC NUMBER ONE THOUSAND
111F5-111FF,UNASSIGNED,<RESERVED>..<RESERVED>
11200-11211,PVALID,KHOJKI LETTER A..KHOJKI LETTER JJA
11212,UNASSIGNED,<RESERVED>
11213-11237,PVALID,KHOJKI LETTER NYA..KHOJKI SIGN SHADDA
