Codepoint,Property,Description
11DA0-11DA9,PVALID,GUNJALA GONDI DIGIT ZERO..GUNJALA GONDI DIGIT NINE
11DAA-11DAF,UNASSIGNED,<RESERVED>..<RESERVED>
11DB0-11DDB,PVALID,TOLONG SIKI LETTER I..TOLONG SIKI UNGGA
11DDC-11DDF,UNASSIGNED,<RESERVED>..<RESERVED>
11DE0-11DE9,PVALID,TOLONG SIKI DIGIT ZERO..TOLONG SIKI DIGIT NINE
11DEA-11EDF,UNASSIGNED,<RESERVED>..<RESERVED>
11EE0-11EF6,PVALID,MAKASAR LETTER KA..MAKASAR VOWEL SIGN O
11EF7-11EF8,ID_DIS or FREE_PVAL,MAKASAR PASSIMBANG..MAKASAR END OF SECTION
11EF9-11EFF,UNASSIGNED,<RESERVED>..<RESERVED>
11F00-11F10,PVALID,KAWI SIGN CANDRABINDU..KAWI LETTER O
11F11,UNASSIGNED,<RESERVED>
11F12-11F3A,PVALID,KAWI LETTER KA..KAWI VOWEL SIGN VOCALIC R
11F3B-11F3D,UNASSIGNED,<RESERVED>..<RESERVED>
11F3E-11F42,PVALID,KAWI VOWEL SIGN E..KAWI CONJOINER
11F43-11F4F,ID_DIS or FREE_PVAL,KAWI DANDA..KAWI PUNCTUATION CLOSING SPIRAL
11F50-11F5A,PVALID,KAWI DIGIT ZERO..KAWI SIGN NUKTA
11F5B-11FAF,UNASSIGNED,<RESERVED>..<RESERVED>
11FB0,PVALID,LISU LETTER YHA
11FB1-11FBF,UNASSIGNED,<RESERVED>..<RESERVED>
11FC0-11FF1,ID_DIS or FREE_PVAL,TAMIL FRACTION ONE THREE-HUNDRED-AND-TWENTIETH..TAMIL SIGN VAKAIYARAA
11FF2-11FFE,UNASSIGNED,<RESERVED>..<RESERVED>
11FFF,ID_DIS or FREE_PVAL,TAMIL PUNCTUATION END OF TEXT
12000-12399,PVALID,CUNEIFORM SIGN A..CUNEIFORM SIGN U U
1239A-123FF,UNASSIGNED,<RESERVED>..<RESERVED>
12400-1246E,ID_DIS or FREE_PVAL,CUNEIFORM NUMERIC SIGN TWO ASH..CUNEIFORM NUMERIC SIGN NINE U VARIANT FORM
1246F,UNASSIGNED,<RESERVED>
12470-12474,ID_DIS or FREE_PVAL,CUNEIFORM PUNCTUATION SIGN OLD ASSYRIAN WORD DIVIDER..CUNEIFORM PUNCTUATION SIGN DIAGONAL QUADCOLON
12475-1247F,UNASSIGNED,<RESERVED>..<RESERVED>
12480-12543,PVALID,CUNEIFORM SIGN AB TIMES NUN TENU..CUNEIFORM SIGN ZU5 TIMES THREE DISH TENU
12544-12F8F,UNASSIGNED,<RESERVED>..<RESERVED>
12F90-12FF0,PVALID,CYPRO-MINOAN SIGN CM001..CYPRO-MINOAN SIGN CM114
12FF1-12FF2,ID_DIS or FREE_PVAL,CYPRO-MINOAN SIGN CM301..CYPRO-MINOAN SIGN CM302
12FF3-12FFF,UNASSIGNED,<RESERVED>..<RESERVED>
13000-1342F,PVALID,EGYPTIAN HIEROGLYPH A001..EGYPTIAN HIEROGLYPH V011D
13430-1343F,DISALLOWED,EGYPTIAN HIEROGLYPH VERTICAL JOINER..EGYPTIAN HIEROGLYPH END WALLED ENCLOSURE
13440-13455,PVALID,EGYPTIAN HIEROGLYPH MIRROR HORIZONTALLY..EGYPTIAN HIEROGLYPH MODIFIER DAMAGED
13456-1345F,UNASSIGNED,<RESERVED>..<RESERVED>
13460-143FA,PVALID,EGYPTIAN HIEROGLYPH-13460..EGYPTIAN HIEROGLYPH-143FA
143FB-143FF,UNASSIGNED,<RESERVED>..<RESERVED>
14400-14646,PVALID,ANATOLIAN HIEROGLYPH A001..ANATOLIAN HIEROGLYPH A530
14647-160FF,UNASSIGNED,<RESERVED>..<RESERVED>
16100-16139,PVALID,GURUNG KHEMA LETTER A..GURUNG KHEMA DIGIT NINE
1613A-167FF,UNASSIGNED,<RESERVED>..<RESERVED>
16800-16A38,PVALID,BAMUM LETTER PHASE-A NGKUE MFON..BAMUM LETTER PHASE-F VUEQ
16A39-16A3F,UNASSIGNED,<RESERVED>..<RESERVED>
16A40-16A5E,PVALID,MRO LETTER TA..MRO LETTER TEK
16A5F,UNASSIGNED,<RESERVED>
16A60-16A69,PVALID,MRO DIGIT ZERO..MRO DIGIT NINE
16A6A-16A6D,UNASSIGNED,<RESERVED>..<RESERVED>
16A6E-16A6F,ID_DIS or FREE_PVAL,MRO DANDA..MRO DOUBLE DANDA
16A70-16ABE,PVALID,TANGSA LETTER OZ..TANGSA LETTER ZA
16ABF,UNASSIGNED,<RESERVED>
16AC0-16AC9,PVALID,TANGSA DIGIT ZERO..TANGSA DIGIT NINE
16ACA-16ACF,UNASSIGNED,<RESERVED>..<RESERVED>
16AD0-16AED,PVALID,BASSA VAH LETTER ENNI..BASSA VAH LETTER I
16AEE-16AEF,UNASSIGNED,<RESERVED>..<RESERVED>
16AF0-16AF4,PVALID,BASSA VAH COMBINING HIGH TONE..BASSA VAH COMBINING HIGH-LOW TONE
16AF5,ID_DIS or FREE_PVAL,BASSA VAH FULL STOP
16AF6-16AFF,UNASSIGNED,<RESERVED>..<RESERVED>
16B00-16B36,PVALID,PAHAWH HMONG VOWEL KEEB..PAHAWH HMONG MARK CIM TAUM
16B37-16B3F,ID_DIS or FREE_PVAL,PAHAWH HMONG SIGN VOS THOM..PAHAWH HMONG SIGN XYEEM FAIB
16B40-16B43,PVALID,PAHAWH HMONG SIGN VOS SEEV..PAHAWH HMONG SIGN IB YAM
16B44-16B45,ID_DIS or FREE_PVAL,PAHAWH HMONG SIGN XAUS..PAHAWH HMONG SIGN CIM TSOV ROG
16B46-16B4F,UNASSIGNED,<RESERVED>..<RESERVED>
16B50-16B59,PVALID,PAHAWH HMONG DIGIT ZERO..PAHAWH HMONG DIGIT NINE
16B5A,UNASSIGNED,<RESERVED>
16B5B-16B61,ID_DIS or FREE_PVAL,PAHAWH HMONG NUMBER TENS..PAHAWH HMONG NUMBER TRILLIONS
16B62,UNASSIGNED,<RESERVED>
16B63-16B77,PVALID,PAHAWH HMONG SIGN VOS LUB..PAHAWH HMONG SIGN CIM NRES TOS
16B78-16B7C,UNASSIGNED,<RESERVED>..<RESERVED>
16B7D-16B8F,PVALID,PAHAWH HMONG CLAN SIGN TSHEEJ..PAHAWH HMONG CLAN SIGN VWJ
16B90-16D3F,UNASSIGNED,<RESERVED>..<RESERVED>
16D40-16D6C,PVALID,KIRAT RAI SIGN ANUSVARA..KIRAT RAI SIGN SAAT
16D6D-16D6F,ID_DIS or FREE_PVAL,KIRAT RAI SIGN YUPI..KIRAT RAI DOUBLE DANDA
16D70-16D79,PVALID,KIRAT RAI DIGIT ZERO..KIRAT RAI DIGIT NINE
16D7A-16E3F,UNASSIGNED,<RESERVED>..<RESERVED>
16E40-16E7F,PVALID,MEDEFAIDRIN CAPITAL LETTER M..MEDEFAIDRIN SMALL LETTER Y
16E80-16E9A,ID_DIS or FREE_PVAL,MEDEFAIDRIN DIGIT ZERO..MEDEFAIDRIN EXCLAMATION OH
16E9B-16E9F,UNASSIGNED,<RESERVED>..<RESERVED>
16EA0-16EB8,PVALID,BERIA ERFE CAPITAL LETTER ARKAB..BERIA ERFE CAPITAL LETTER AY
16EB9-16EBA,UNASSIGNED,<RESERVED>..<RESERVED>
16EBB-16ED3,PVALID,BERIA ERFE SMALL LETTER ARKAB..BERIA ERFE SMALL LETTER AY
16ED4-16EFF,UNASSIGNED,<RESERVED>..<RESERVED>
16F00-16F4A,PVALID,MIAO LETTER PA..MIAO LETTER RTE
16F4B-16F4E,UNASSIGNED,<RESERVED>..<RESERVED>
16F4F-16F87,PVALID,MIAO SIGN CONSONANT MODIFIER BAR..MIAO VOWEL SIGN UI
16F88-16F8E,UNASSIGNED,<RESERVED>..<RESERVED>
16F8F-16F9F,PVALID,MIAO TONE RIGHT..MIAO LETTER REFORMED TONE-8
16FA0-16FDF,UNASSIGNED,<RESERVED>..<RESERVED>
16FE0-16FE1,PVALID,TANGUT ITERATION MARK..NUSHU ITERATION MARK
16FE2,ID_DIS or FREE_PVAL,OLD CHINESE HOOK MARK
16FE3-16FE4,PVALID,OLD CHINESE ITERATION MARK..KHITAN SMALL SCRIPT FILLER
16FE5-16FEF,UNASSIGNED,<RESERVED>..<RESERVED>
16FF0-16FF3,PVALID,VIETNAMESE ALTERNATE READING MARK CA..CHINESE SMALL TRADITIONAL ER
16FF4-16FF6,ID_DIS or FREE_PVAL,YANGQIN SIGN SLOW ONE BEAT..YANGQIN SIGN SLOW TWO BEATS
16FF7-16FFF,UNASSIGNED,<RESERVED>..<RESERVED>
17000-18CD5,PVALID,"<TANGUT IDEOGRAPH, FIRST>..KHITAN SMALL SCRIPT CHARACTER-18CD5"
18CD6-18CFE,UNASSIGNED,<RESERVED>..<RESERVED>
18CFF-18D1E,PVALID,"KHITAN SMALL SCRIPT CHARACTER-18CFF..<TANGUT IDEOGRAPH SUPPLEMENT, LAST>"
18D1F-18D7F,UNASSIGNED,<RESERVED>..<RESERVED>
18D80-18DF2,PVALID,TANGUT COMPONENT-769..TANGUT COMPONENT-883
18DF3-1AFEF,UNASSIGNED,<RESERVED>..<RESERVED>
1AFF0-1AFF3,PVALID,KATAKANA LETTER MINNAN TONE-2..KATAKANA LETTER MINNAN TONE-5
1AFF4,UNASSIGNED,<RESERVED>
1AFF5-1AFFB,PVALID,KATAKANA LETTER MINNAN TONE-7..KATAKANA LETTER MINNAN NASALIZED TONE-5
1AFFC,UNASSIGNED,<RESERVED>
1AFFD-1AFFE,PVALID,KATAKANA LETTER MINNAN NASALIZED TONE-7..KATAKANA LETTER MINNAN NASALIZED TONE-8
1AFFF,UNASSIGNED,<RESERVED>
1B000-1B122,PVALID,KATAKANA LETTER ARCHAIC E..KATAKANA LETTER ARCHAIC WU
1B123-1B131,UNASSIGNED,<RESERVED>..<RESERVED>
1B132,PVALID,HIRAGANA LETTER SMALL KO
1B133-1B14F,UNASSIGNED,<RESERVED>..<RESERVED>
1B150-1B152,PVALID,HIRAGANA LETTER SMALL WI..HIRAGANA LETTER SMALL WO
1B153-1B154,UNASSIGNED,<RESERVED>..<RESERVED>
1B155,PVALID,KATAKANA LETTER SMALL KO
1B156-1B163,UNASSIGNED,<RESERVED>..<RESERVED>
1B164-1B167,PVALID,KATAKANA LETTER SMALL WI..KATAKANA LETTER SMALL N
1B168-1B16F,UNASSIGNED,<RESERVED>..<RESERVED>
1B170-1B2FB,PVALID,NUSHU CHARACTER-1B170..NUSHU CHARACTER-1B2FB
1B2FC-1BBFF,UNASSIGNED,<RESERVED>..<RESERVED>
1BC00-1BC6A,PVALID,DUPLOYAN LETTER H..DUPLOYAN LETTER VOCALIC M
1BC6B-1BC6F,UNASSIGNED,<RESERVED>..<RESERVED>
1BC70-1BC7C,PVALID,DUPLOYAN AFFIX LEFT HORIZONTAL SECANT..DUPLOYAN AFFIX ATTACHED TANGENT HOOK
1BC7D-1BC7F,UNASSIGNED,<RESERVED>..<RESERVED>
1BC80-1BC88,PVALID,DUPLOYAN AFFIX HIGH ACUTE..DUPLOYAN AFFIX HIGH VERTICAL
1BC89-1BC8F,UNASSIGNED,<RESERVED>..<RESERVED>
1BC90-1BC99,PVALID,DUPLOYAN AFFIX LOW ACUTE..DUPLOYAN AFFIX LOW ARROW
1BC9A-1BC9B,UNASSIGNED,<RESERVED>..<RESERVED>
1BC9C,ID_DIS or FREE_PVAL,DUPLOYAN SIGN O WITH CROSS
1BC9D-1BC9E,PVALID,DUPLOYAN THICK LETTER SELECTOR..DUPLOYAN DOUBLE MARK
1BC9F,ID_DIS or FREE_PVAL,DUPLOYAN PUNCTUATION CHINOOK FULL STOP
1BCA0-1BCA3,DISALLOWED,SHORTHAND FORMAT LETTER OVERLAP..SHORTHAND FORMAT UP STEP
1BCA4-1CBFF,UNASSIGNED,<RESERVED>..<RESERVED>
1CC00-1CCFC,ID_DIS or FREE_PVAL,UP-POINTING GO-KART..NOSE SYMBOL
1CCFD-1CCFF,UNASSIGNED,<RESERVED>..<RESERVED>
1CD00-1CEB3,ID_DIS or FREE_PVAL,BLOCK OCTANT-3..BLACK RIGHT TRIANGLE CARET
1CEB4-1CEB9,UNASSIGNED,<RESERVED>..<RESERVED>
1CEBA-1CED0,ID_DIS or FREE_PVAL,FRAGILE SYMBOL..LEUKOTHEA
1CED1-1CEDF,UNASSIGNED,<RESERVED>..<RESERVED>
1CEE0-1CEF0,ID_DIS or FREE_PVAL,GEOMANTIC FIGURE POPULUS..MEDIUM SMALL WHITE CIRCLE WITH HORIZONTAL BAR
1CEF1-1CEFF,UNASSIGNED,<RESERVED>..<RESERVED>
1CF00-1CF2D,PVALID,ZNAMENNY COMBINING MARK GORAZDO NIZKO S KRYZHEM ON LEFT..ZNAMENNY COMBINING MARK KRYZH ON LEFT
1CF2E-1CF2F,UNASSIGNED,<RESERVED>..<RESERVED>
1CF30-1CF46,PVALID,ZNAMENNY COMBINING TONAL RANGE MARK MRACHNO..ZNAMENNY PRIZNAK MODIFIER ROG
1CF47-1CF4F,UNASSIGNED,<RESERVED>..<RESERVED>
1CF50-1CFC3,ID_DIS or FREE_PVAL,ZNAMENNY NEUME KRYUK..ZNAMENNY NEUME PAUK
1CFC4-1CFFF,UNASSIGNED,<RESERVED>..<RESERVED>
1D000-1D0F5,ID_DIS or FREE_PVAL,BYZANTINE MUSICAL SYMBOL PSILI..BYZANTINE MUSICAL SYMBOL GORGON NEO KATO
1D0F6-1D0FF,UNASSIGNED,<RESERVED>..<RESERVED>
1D100-1D126,ID_DIS or FREE_PVAL,MUSICAL SYMBOL SINGLE BARLINE..MUSICAL SYMBOL DRUM CLEF-2
1D127-1D128,UNASSIGNED,<RESERVED>..<RESERVED>
1D129-1D164,ID_DIS or FREE_PVAL,MUSICAL SYMBOL MULTIPLE MEASURE REST..MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH NOTE
1D165-1D169,PVALID,MUSICAL SYMBOL COMBINING STEM..MUSICAL SYMBOL COMBINING TREMOLO-3
1D16A-1D16C,ID_DIS or FREE_PVAL,MUSICAL SYMBOL FINGERED TREMOLO-1..MUSICAL SYMBOL FINGERED TREMOLO-3
1D16D-1D172,PVALID,MUSICAL SYMBOL COMBINING AUGMENTATION DOT..MUSICAL SYMBOL COMBINING FLAG-5
1D173-1D17A,DISALLOWED,MUSICAL SYMBOL BEGIN BEAM..MUSICAL SYMBOL END PHRASE
1D17B-1D182,PVALID,MUSICAL SYMBOL COMBINING ACCENT..MUSICAL SYMBOL COMBINING LOURE
1D183-1D184,ID_DIS or FREE_PVAL,MUSICAL SYMBOL ARPEGGIATO UP..MUSICAL SYMBOL ARPEGGIATO DOWN
1D185-1D18B,PVALID,MUSICAL SYMBOL COMBINING DOIT..MUSICAL SYMBOL COMBINING TRIPLE TONGUE
1D18C-1D1A9,ID_DIS or FREE_PVAL,MUSICAL SYMBOL RINFORZANDO..MUSICAL SYMBOL DEGREE SLASH
1D1AA-1D1AD,PVALID,MUSICAL SYMBOL COMBINING DOWN BOW..MUSICAL SYMBOL COMBINING SNAP PIZZICATO
1D1AE-1D1EA,ID_DIS or FREE_PVAL,MUSICAL SYMBOL PEDAL MARK..MUSICAL SYMBOL KORON
1D1EB-1D1FF,UNASSIGNED,<RESERVED>..<RESERVED>
1D200-1D241,ID_DIS or FREE_PVAL,GREEK VOCAL NOTATION SYMBOL-1..GREEK INSTRUMENTAL NOTATION SYMBOL-54
1D242-1D244,PVALID,COMBINING GREEK MUSICAL TRISEME..COMBINING GREEK MUSICAL PENTASEME
1D245,ID_DIS or FREE_PVAL,GREEK MUSICAL LEIMMA
1D246-1D2BF,UNASSIGNED,<RESERVED>..<RESERVED>
1D2C0-1D2D3,ID_DIS or FREE_PVAL,KAKTOVIK NUMERAL ZERO..KAKTOVIK NUMERAL NINETEEN
1D2D4-1D2DF,UNASSIGNED,<RESERVED>..<RESERVED>
1D2E0-1D2F3,ID_DIS or FREE_PVAL,MAYAN NUMERAL ZERO..MAYAN NUMERAL NINETEEN
1D2F4-1D2FF,UNASSIGNED,<RESERVED>..<RESERVED>
1D300-1D356,ID_DIS or FREE_PVAL,MONOGRAM FOR EARTH..TETRAGRAM FOR FOSTERING
1D357-1D35F,UNASSIGNED,<RESERVED>..<RESERVED>
1D360-1D378,ID_DIS or FREE_PVAL,COUNTING ROD UNIT DIGIT ONE..TALLY MARK FIVE
1D379-1D3FF,UNASSIGNED,<RESERVED>..<RESERVED>
1D400-1D454,ID_DIS or FREE_PVAL,MATHEMATICAL BOLD CAPITAL A..MATHEMATICAL ITALIC SMALL G
1D455,UNASSIGNED,<RESERVED>
1D456-1D49C,ID_DIS or FREE_PVAL,MATHEMATICAL ITALIC SMALL I..MATHEMATICAL SCRIPT CAPITAL A
1D49D,UNASSIGNED,<RESERVED>
1D49E-1D49F,ID_DIS or FREE_PVAL,MATHEMATICAL SCRIPT CAPITAL C..MATHEMATICAL SCRIPT CAPITAL D
1D4A0-1D4A1,UNASSIGNED,<RESERVED>..<RESERVED>
1D4A2,ID_DIS or FREE_PVAL,MATHEMATICAL SCRIPT CAPITAL G
1D4A3-1D4A4,UNASSIGNED,<RESERVED>..<RESERVED>
1D4A5-1D4A6,ID_DIS or FREE_PVAL,MATHEMATICAL SCRIPT CAPITAL J..MATHEMATICAL SCRIPT CAPITAL K
1D4A7-1D4A8,UNASSIGNED,<RESERVED>..<RESERVED>
1D4A9-1D4AC,ID_DIS or FREE_PVAL,MATHEMATICAL SCRIPT CAPITAL N..MATHEMATICAL SCRIPT CAPITAL Q
1D4AD,UNASSIGNED,<RESERVED>
1D4AE-1D4B9,ID_DIS or FREE_PVAL,MATHEMATICAL SCRIPT CAPITAL S..MATHEMATICAL SCRIPT SMALL D
1D4BA,UNASSIGNED,<RESERVED>
1D4BB,ID_DIS or FREE_PVAL,MATHEMATICAL SCRIPT SMALL F
1D4BC,UNASSIGNED,<RESERVED>
1D4BD-1D4C3,ID_DIS or FREE_PVAL,MATHEMATICAL SCRIPT SMALL H..MATHEMATICAL SCRIPT SMALL N
1D4C4,UNASSIGNED,<RESERVED>
1D4C5-1D505,ID_DIS or FREE_PVAL,MATHEMATICAL SCRIPT SMALL P..MATHEMATICAL FRAKTUR CAPITAL B
1D506,UNASSIGNED,<RESERVED>
1D507-1D50A,ID_DIS or FREE_PVAL,MATHEMATICAL FRAKTUR CAPITAL D..MATHEMATICAL FRAKTUR CAPITAL G
1D50B-1D50C,UNASSIGNED,<RESERVED>..<RESERVED>
1D50D-1D514,ID_DIS or FREE_PVAL,MATHEMATICAL FRAKTUR CAPITAL J..MATHEMATICAL FRAKTUR CAPITAL Q
1D515,UNASSIGNED,<RESERVED>
1D516-1D51C,ID_DIS or FREE_PVAL,MATHEMATICAL FRAKTUR CAPITAL S..MATHEMATICAL FRAKTUR CAPITAL Y
1D51D,UNASSIGNED,<RESERVED>
1D51E-1D539,ID_DIS or FREE_PVAL,MATHEMATICAL FRAKTUR SMALL A..MATHEMATICAL DOUBLE-STRUCK CAPITAL B
1D53A,UNASSIGNED,<RESERVED>
1D53B-1D53E,ID_DIS or FREE_PVAL,MATHEMATICAL DOUBLE-STRUCK CAPITAL D..MATHEMATICAL DOUBLE-STRUCK CAPITAL G
1D53F,UNASSIGNED,<RESERVED>
1D540-1D544,ID_DIS or FREE_PVAL,MATHEMATICAL DOUBLE-STRUCK CAPITAL I..MATHEMATICAL DOUBLE-STRUCK CAPITAL M
1D545,UNASSIGNED,<RESERVED>
1D546,ID_DIS or FREE_PVAL,MATHEMATICAL DOUBLE-STRUCK CAPITAL O
1D547-1D549,UNASSIGNED,<RESERVED>..<RESERVED>
1D54A-1D550,ID_DIS or FREE_PVAL,MATHEMATICAL DOUBLE-STRUCK CAPITAL S..MATHEMATICAL DOUBLE-STRUCK CAPITAL Y
1D551,UNASSIGNED,<RESERVED>
1D552-1D6A5,ID_DIS or FREE_PVAL,MATHEMATICAL DOUBLE-STRUCK SMALL A..MATHEMATICAL ITALIC SMALL DOTLESS J
1D6A6-1D6A7,UNASSIGNED,<RESERVED>..<RESERVED>
1D6A8-1D7CB,ID_DIS or FREE_PVAL,MATHEMATICAL BOLD CAPITAL ALPHA..MATHEMATICAL BOLD SMALL DIGAMMA
1D7CC-1D7CD,UNASSIGNED,<RESERVED>..<RESERVED>
1D7CE-1D9FF,ID_DIS or FREE_PVAL,MATHEMATICAL BOLD DIGIT ZERO..SIGNWRITING HEAD
1DA00-1DA36,PVALID,SIGNWRITING HEAD RIM..SIGNWRITING AIR SUCKING IN
1DA37-1DA3A,ID_DIS or FREE_PVAL,SIGNWRITING AIR BLOW SMALL ROTATIONS..SIGNWRITING BREATH EXHALE
1DA3B-1DA6C,PVALID,SIGNWRITING MOUTH CLOSED NEUTRAL..SIGNWRITING EXCITEMENT
1DA6D-1DA74,ID_DIS or FREE_PVAL,SIGNWRITING SHOULDER HIP SPINE..SIGNWRITING TORSO-FLOORPLANE TWISTING
1DA75,PVALID,SIGNWRITING UPPER BODY TILTING FROM HIP JOINTS
1DA76-1DA83,ID_DIS or FREE_PVAL,SIGNWRITING LIMB COMBINATION..SIGNWRITING LOCATION DEPTH
1DA84,PVALID,SIGNWRITING LOCATION HEAD NECK
1DA85-1DA8B,ID_DIS or FREE_PVAL,SIGNWRITING LOCATION TORSO..SIGNWRITING PARENTHESIS
1DA8C-1DA9A,UNASSIGNED,<RESERVED>..<RESERVED>
1DA9B-1DA9F,PVALID,SIGNWRITING FILL MODIFIER-2..SIGNWRITING FILL MODIFIER-6
1DAA0,UNASSIGNED,<RESERVED>
1DAA1-1DAAF,PVALID,SIGNWRITING ROTATION MODIFIER-2..SIGNWRITING ROTATION MODIFIER-16
1DAB0-1DEFF,UNASSIGNED,<RESERVED>..<RESERVED>
1DF00-1DF1E,PVALID,LATIN SMALL LETTER FENG DIGRAPH WITH TRILL..LATIN SMALL LETTER S WITH CURL
1DF1F-1DF24,UNASSIGNED,<RESERVED>..<RESERVED>
1DF25-1DF2A,PVALID,LATIN SMALL LETTER D WITH MID-HEIGHT LEFT HOOK..LATIN SMALL LETTER T WITH MID-HEIGHT LEFT HOOK
1DF2B-1DFFF,UNASSIGNED,<RESERVED>..<RESERVED>
1E000-1E006,PVALID,COMBINING GLAGOLITIC LETTER AZU..COMBINING GLAGOLITIC LETTER ZHIVETE
1E007,UNASSIGNED,<RESERVED>
1E008-1E018,PVALID,COMBINING GLAGOLITIC LETTER ZEMLJA..COMBINING GLAGOLITIC LETTER HERU
1E019-1E01A,UNASSIGNED,<RESERVED>..<RESERVED>
1E01B-1E021,PVALID,COMBINING GLAGOLITIC LETTER SHTA..COMBINING GLAGOLITIC LETTER YATI
1E022,UNASSIGNED,<RESERVED>
1E023-1E024,PVALID,COMBINING GLAGOLITIC LETTER YU..COMBINING GLAGOLITIC LETTER SMALL YUS
1E025,UNASSIGNED,<RESERVED>
1E026-1E02A,PVALID,COMBINING GLAGOLITIC LETTER YO..COMBINING GLAGOLITIC LETTER FITA
1E02B-1E02F,UNASSIGNED,<RESERVED>..<RESERVED>
1E030-1E06D,ID_DIS or FREE_PVAL,MODIFIER LETTER CYRILLIC SMALL A..MODIFIER LETTER CYRILLIC SMALL STRAIGHT U WITH STROKE
1E06E-1E08E,UNASSIGNED,<RESERVED>..<RESERVED>
1E08F,PVALID,COMBINING CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
1E090-1E0FF,UNASSIGNED,<RESERVED>..<RESERVED>
1E100-1E12C,PVALID,NYIAKENG PUACHUE HMONG LETTER MA..NYIAKENG PUACHUE HMONG LETTER W
1E12D-1E12F,UNASSIGNED,<RESERVED>..<RESERVED>
1E130-1E13D,PVALID,NYIAKENG PUACHUE HMONG TONE-B..NYIAKENG PUACHUE HMONG SYLLABLE LENGTHENER
1E13E-1E13F,UNASSIGNED,<RESERVED>..<RESERVED>
1E140-1E149,PVALID,NYIAKENG PUACHUE HMONG DIGIT ZERO..NYIAKENG PUACHUE HMONG DIGIT NINE
1E14A-1E14D,UNASSIGNED,<RESERVED>..<RESERVED>
1E14E,PVALID,NYIAKENG PUACHUE HMONG LOGOGRAM NYAJ
1E14F,ID_DIS or FREE_PVAL,NYIAKENG PUACHUE HMONG CIRCLED CA
1E150-1E28F,UNASSIGNED,<RESERVED>..<RESERVED>
1E290-1E2AE,PVALID,TOTO LETTER PA..TOTO SIGN RISING TONE
1E2AF-1E2BF,UNASSIGNED,<RESERVED>..<RESERVED>
1E2C0-1E2F9,PVALID,WANCHO LETTER AA..WANCHO DIGIT NINE
1E2FA-1E2FE,UNASSIGNED,<RESERVED>..<RESERVED>
1E2FF,ID_DIS or FREE_PVAL,WANCHO NGUN SIGN
1E300-1E4CF,UNASSIGNED,<RESERVED>..<RESERVED>
1E4D0-1E4F9,PVALID,NAG MUNDARI LETTER O..NAG MUNDARI DIGIT NINE
1E4FA-1E5CF,UNASSIGNED,<RESERVED>..<RESERVED>
1E5D0-1E5FA,PVALID,OL ONAL LETTER O..OL ONAL DIGIT NINE
1E5FB-1E5FE,UNASSIGNED,<RESERVED>..<RESERVED>
1E5FF,ID_DIS or FREE_PVAL,OL ONAL ABBREVIATION SIGN
1E600-1E6BF,UNASSIGNED,<RESERVED>..<RESERVED>
1E6C0-1E6DE,PVALID,TAI YO LETTER LOW KO..TAI YO LETTER HIGH KVO
1E6DF,UNASSIGNED,<RESERVED>
1E6E0-1E6F5,PVALID,TAI YO LETTER AA..TAI YO SIGN OM
1E6F6-1E6FD,UNASSIGNED,<RESERVED>..<RESERVED>
1E6FE-1E6FF,PVALID,TAI YO SYMBOL MUEANG..TAI YO XAM LAI
1E700-1E7DF,UNASSIGNED,<RESERVED>..<RESERVED>
1E7E0-1E7E6,PVALID,ETHIOPIC SYLLABLE HHYA..ETHIOPIC SYLLABLE HHYO
1E7E7,UNASSIGNED,<RESERVED>
1E7E8-1E7EB,PVALID,ETHIOPIC SYLLABLE GURAGE HHWA..ETHIOPIC SYLLABLE HHWE
1E7EC,UNASSIGNED,<RESERVED>
1E7ED-1E7EE,PVALID,ETHIOPIC SYLLABLE GURAGE MWI..ETHIOPIC SYLLABLE GURAGE MWEE
1E7EF,UNASSIGNED,<RESERVED>
1E7F0-1E7FE,PVALID,ETHIOPIC SYLLABLE GURAGE QWI..ETHIOPIC SYLLABLE GURAGE PWEE
1E7FF,UNASSIGNED,<RESERVED>
1E800-1E8C4,PVALID,MENDE KIKAKUI SYLLABLE M001 KI..MENDE KIKAKUI SYLLABLE M060 NYON
1E8C5-1E8C6,UNASSIGNED,<RESERVED>..<RESERVED>
1E8C7-1E8CF,ID_DIS or FREE_PVAL,MENDE KIKAKUI DIGIT ONE..MENDE KIKAKUI DIGIT NINE
1E8D0-1E8D6,PVALID,MENDE KIKAKUI COMBINING NUMBER TEENS..MENDE KIKAKUI COMBINING NUMBER MILLIONS
1E8D7-1E8FF,UNASSIGNED,<RESERVED>..<RESERVED>
1E900-1E94B,PVALID,ADLAM CAPITAL LETTER ALIF..ADLAM NASALIZATION MARK
1E94C-1E94F,UNASSIGNED,<RESERVED>..<RESERVED>
1E950-1E959,PVALID,ADLAM DIGIT ZERO..ADLAM DIGIT NINE
1E95A-1E95D,UNASSIGNED,<RESERVED>..<RESERVED>
1E95E-1E95F,ID_DIS or FREE_PVAL,ADLAM INITIAL EXCLAMATION MARK..ADLAM INITIAL QUESTION MARK
1E960-1EC70,UNASSIGNED,<RESERVED>..<RESERVED>
1EC71-1ECB4,ID_DIS or FREE_PVAL,INDIC SIYAQ NUMBER ONE..INDIC SIYAQ ALTERNATE LAKH MARK
1ECB5-1ED00,UNASSIGNED,<RESERVED>..<RESERVED>
